time,id
011601,324bfa0b
011603,e2ae200c
011607,0cdc290b
011610,d2f3fb0b
011707,3274440c
011733,3274440c
011738,d2f3fb0b
011740,0cdc290b
011743,e2ae200c
011747,324bfa0b
011804,8262f20b
011810,e2889a0c
011837,2275f70b
011844,72c8970c
012017,2275f70b
012050,e282200c
012104,2275f70b
012144,2275f70b
012153,e282200c
012210,b27d1f0c
012346,b27d1f0c
012358,e282200c
012441,e282200c
012456,e282200c
012504,e282200c
012507,b27d1f0c
012520,2275f70b
012535,b27d1f0c
012551,b27d1f0c
012557,b27d1f0c
012628,b27d1f0c
012707,b27d1f0c
012710,e282200c
012713,2275f70b
012810,2275f70b
012815,e282200c
012819,b27d1f0c
012842,b27d1f0c
012852,b27d1f0c
012858,b27d1f0c
012929,b27d1f0c
012932,e282200c
012945,e282200c
013008,b27d1f0c
013012,e282200c
013016,2275f70b
013052,2275f70b
013056,e282200c
013137,e282200c
013140,2275f70b
013200,2275f70b
013204,b27d1f0c
013207,1249fb0b
013246,1249fb0b
013249,b27d1f0c
013252,2275f70b
013304,2275f70b
013306,b27d1f0c
013308,1249fb0b
013508,1249fb0b
013512,b27d1f0c
013514,2275f70b
013519,e282200c
013534,e282200c
013538,2275f70b
013558,b27d1f0c
013602,1249fb0b
013604,2275f70b
013741,e282200c
013813,e282200c
013831,2275f70b
013928,e282200c
013932,2275f70b
013935,1249fb0b
013938,b27d1f0c
014006,b27d1f0c
014008,1249fb0b
014011,2275f70b
014013,e282200c
014046,e282200c
014101,e282200c
014104,2275f70b
014105,1249fb0b
014107,b27d1f0c
014231,b27d1f0c
014243,b27d1f0c
014254,1249fb0b
014331,2275f70b
014334,e282200c
014337,1249fb0b
014339,b27d1f0c
014415,b27d1f0c
014417,1249fb0b
014419,e282200c
014434,2275f70b
014438,324bfa0b
014509,324bfa0b
014512,2275f70b
014515,e282200c
014704,1249fb0b
014706,b27d1f0c
014709,e282200c
014711,2275f70b
014714,324bfa0b
014835,324bfa0b
014837,2275f70b
014840,e282200c
014843,b27d1f0c
014923,b27d1f0c
014925,1249fb0b
014929,e282200c
014931,2275f70b
014934,324bfa0b
015036,324bfa0b
015038,2275f70b
015040,e282200c
015042,b27d1f0c
015044,1249fb0b
015048,e2ae200c
015050,0cdc290b
015053,d2f3fb0b
015056,3274440c
015208,3274440c
021334,3274440c
021532,3274440c
021537,d2f3fb0b
021539,0cdc290b
021541,e2ae200c
021552,d2f3fb0b
021706,e2ae200c
021712,0cdc290b
021751,324bfa0b
021807,324bfa0b
021810,e282200c
021811,2275f70b
021814,b27d1f0c
021817,1249fb0b
021820,3274440c
021823,d2f3fb0b
021824,0cdc290b
021826,e2ae200c
021924,8262f20b
021925,e2889a0c
021928,72c8970c
021931,e2ae200c
022011,e2ae200c
022013,72c8970c
022016,8262f20b
022017,72c8970c
022021,e2889a0c
022024,e2889a0c
164346,72c8970c
164348,8262f20b
164350,e2889a0c
164351,324bfa0b
164353,e282200c
164356,2275f70b
164358,b27d1f0c
164400,1249fb0b
164403,3274440c
164430,e2ae200c
164434,72c8970c
164436,8262f20b
164438,e2889a0c
164440,324bfa0b
164443,e282200c
164445,2275f70b
164447,b27d1f0c
164450,1249fb0b
164451,3274440c
164453,d2f3fb0b
164534,e2ae200c
164536,72c8970c
164538,8262f20b
164540,e2889a0c
164542,324bfa0b
164544,e282200c
164546,2275f70b
164547,b27d1f0c
164549,1249fb0b
164551,3274440c
164854,e2889a0c
164857,e2ae200c
164859,d2f3fb0b
164900,0cdc290b
164903,8262f20b
164905,324bfa0b
164907,72c8970c
164909,3274440c
165034,3274440c
165036,72c8970c
165039,324bfa0b
165041,8262f20b
165043,0cdc290b
165047,d2f3fb0b
165051,e2889a0c
165052,e2ae200c
165401,ba71033c
171442,e2889a0c
171446,e2ae200c
171448,d2f3fb0b
171451,0cdc290b
171453,8262f20b
171455,324bfa0b
171457,72c8970c
171459,3274440c
171654,3274440c
171656,72c8970c
171659,324bfa0b
174521,45880daa
174525,ba71033c
175753,8262f20b
175755,0cdc290b
175757,d2f3fb0b
175759,e2ae200c
175802,e2889a0c
175805,1249fb0b
175807,b27d1f0c
175811,2275f70b
175831,2275f70b
175834,b27d1f0c
175835,1249fb0b
175836,e2889a0c
175838,e2ae200c
175840,d2f3fb0b
175848,0cdc290b
175851,8262f20b
175859,ba71033c
175903,8262f20b
223927,ba71033c
223931,45880daa
